Accession,Class
GCA_000981605.1,Pezizomycetes
GCF_000002655.1,Eurotiomycetes
GCA_000739145.1,Sordariomycetes
GCA_000784595.1,Pichiomycetes
GCA_020570735.1,Dothideomycetes
GCF_026873545.1,Sordariomycetes
GCA_020499775.1,Eurotiomycetes
GCA_041956515.1,Sordariomycetes
GCA_020503725.1,Eurotiomycetes
GCF_000149985.1,Dothideomycetes
GCA_003704645.1,Dothideomycetes
GCA_026023555.1,Arthoniomycetes
GCA_020797195.1,Saccharomycetes
GCA_000302655.1,Dothideomycetes
GCA_030061365.1,Eurotiomycetes
GCA_003615095.1,Sordariomycetes
GCA_020500025.1,Eurotiomycetes
GCA_000006335.3,Pichiomycetes
GCA_000827215.1,Agaricomycetes
GCA_000773845.1,Pichiomycetes
GCF_038363985.1,Sordariomycetes
GCA_020502875.1,Eurotiomycetes
GCA_000976785.2,Saccharomycetes
GCA_041438055.1,Agaricomycetes
GCF_038497935.1,Lipomycetes
GCA_949124835.1,Saccharomycetes
GCA_036426225.1,Tremellomycetes
GCA_000721765.1,Dothideomycetes
GCA_015852395.1,Mortierellomycetes
GCA_000187425.2,Sordariomycetes
GCA_015680655.1,Mortierellomycetes
GCA_000976845.3,Saccharomycetes
GCA_002003505.1,Sordariomycetes
GCA_037074995.1,Sordariomycetes
GCA_000975915.3,Saccharomycetes
GCA_023137865.1,Eurotiomycetes
GCA_026210795.1,Glomeromycetes
GCA_014461115.1,Agaricomycetes
GCA_029203985.1,Agaricomycetes
GCA_001006365.1,Sordariomycetes
GCA_032173475.1,Agaricomycetes
GCA_000149385.1,Tremellomycetes
GCA_021014935.1,Agaricomycetes
GCA_000442885.1,Saccharomycetes
GCA_010093825.1,Dothideomycetes
GCF_030869225.1,Sordariomycetes
GCA_022496185.1,Agaricomycetes
GCA_000166175.1,Microbotryomycetes
GCF_028828765.1,Eurotiomycetes
GCA_000182565.2,Chytridiomycetes
GCA_033171785.1,Sordariomycetes
GCA_000835515.1,Eurotiomycetes
GCA_028828505.1,Eurotiomycetes
GCA_027595785.1,Kickxellomycetes
