GCA_027627275.1	a93a2e7d891d309eecf3fad1b3dc94f4	559	CDD	cd07948	DRE_TIM_HCS	246	487	8.86453E-167	T	17-03-2025	IPR048253	Homocitrate synthase, catalytic TIM barrel domain, fungi/bacteria	-	-.1
GCA_027578195.1	e042aefd69124b45b37fccbb668f56fe	312	Gene3D	G3DSA:3.20.20.70	Aldolase class I	11	310	3.4E-122	T	17-03-2025	IPR013785	Aldolase-type TIM barrel	-	-
GCA_027578195.1	e042aefd69124b45b37fccbb668f56fe	312	Pfam	PF00682	HMGL-like	17	288	1.8E-59	T	17-03-2025	IPR000891	Pyruvate carboxyltransferase	GO:0003824(InterPro)	-
GCA_027578195.1	e042aefd69124b45b37fccbb668f56fe	312	CDD	cd07938	DRE_TIM_HMGL	19	292	0.0	T	17-03-2025	-	-	-	-
GCA_027578195.1	e042aefd69124b45b37fccbb668f56fe	312	SUPERFAMILY	SSF51569	Aldolase	14	305	8.35E-77	T	17-03-2025	-	-	-	-
GCA_027578195.1	e042aefd69124b45b37fccbb668f56fe	312	ProSiteProfiles	PS50991	Pyruvate carboxyltransferase domain.	17	284	37.818306	T	17-03-2025	IPR000891	Pyruvate carboxyltransferase	GO:0003824(InterPro)	-
GCA_027578195.1	e042aefd69124b45b37fccbb668f56fe	312	FunFam	G3DSA:3.20.20.70:FF:000201	Hydroxymethylglutaryl-CoA lyase	12	310	1.8E-148	T	17-03-2025	-	-	-	-
GCA_027578195.1	e042aefd69124b45b37fccbb668f56fe	312	ProSitePatterns	PS01062	Hydroxymethylglutaryl-coenzyme A lyase active site.	243	252	-	T	17-03-2025	IPR000138	Hydroxymethylglutaryl-CoA lyase, active site	GO:0004419(InterPro)	-
GCA_027578195.1	e042aefd69124b45b37fccbb668f56fe	312	PANTHER	PTHR42738	HYDROXYMETHYLGLUTARYL-COA LYASE	11	310	3.5E-153	T	17-03-2025	IPR043594	HMG-CoA lyase	GO:0004419(PANTHER)|GO:0006552(PANTHER)|GO:0016833(InterPro)|GO:0046951(PANTHER)	-
GCA_002240705.1	81a4373ffa044547607496eb1f575c1c	373	Gene3D	G3DSA:3.20.20.70	Aldolase class I	48	371	3.0E-103	T	17-03-2025	IPR013785	Aldolase-type TIM barrel	-	-
GCA_002240705.1	81a4373ffa044547607496eb1f575c1c	373	CDD	cd07938	DRE_TIM_HMGL	55	352	1.02705E-147	T	17-03-2025	-	-	-	-
GCA_002240705.1	81a4373ffa044547607496eb1f575c1c	373	FunFam	G3DSA:3.20.20.70:FF:000071	Hydroxymethylglutaryl-CoA lyase	48	371	8.8E-130	T	17-03-2025	-	-	-	-
GCA_002240705.1	81a4373ffa044547607496eb1f575c1c	373	ProSiteProfiles	PS50991	Pyruvate carboxyltransferase domain.	53	345	32.527866	T	17-03-2025	IPR000891	Pyruvate carboxyltransferase	GO:0003824(InterPro)	-
GCA_002240705.1	81a4373ffa044547607496eb1f575c1c	373	SUPERFAMILY	SSF51569	Aldolase	50	361	7.69E-58	T	17-03-2025	-	-	-	-
GCA_002240705.1	81a4373ffa044547607496eb1f575c1c	373	PANTHER	PTHR42738	HYDROXYMETHYLGLUTARYL-COA LYASE	47	370	2.5E-121	T	17-03-2025	IPR043594	HMG-CoA lyase	GO:0004419(PANTHER)|GO:0006552(PANTHER)|GO:0016833(InterPro)|GO:0046951(PANTHER)	-
GCA_002240705.1	81a4373ffa044547607496eb1f575c1c	373	Pfam	PF00682	HMGL-like	53	349	1.5E-40	T	17-03-2025	IPR000891	Pyruvate carboxyltransferase	GO:0003824(InterPro)	-
GCA_000827465.1	48a68b32b040caaa4af01a8465c78195	358	PANTHER	PTHR42738	HYDROXYMETHYLGLUTARYL-COA LYASE	22	339	5.5E-135	T	17-03-2025	IPR043594	HMG-CoA lyase	GO:0004419(PANTHER)|GO:0006552(PANTHER)|GO:0016833(InterPro)|GO:0046951(PANTHER)	-
GCA_000827465.1	48a68b32b040caaa4af01a8465c78195	358	FunFam	G3DSA:3.20.20.70:FF:000201	Hydroxymethylglutaryl-CoA lyase	24	336	5.0E-135	T	17-03-2025	-	-	-	-
GCA_000827465.1	48a68b32b040caaa4af01a8465c78195	358	SUPERFAMILY	SSF51569	Aldolase	26	327	1.12E-67	T	17-03-2025	-	-	-	-
GCA_000827465.1	48a68b32b040caaa4af01a8465c78195	358	ProSiteProfiles	PS50991	Pyruvate carboxyltransferase domain.	29	310	34.644043	T	17-03-2025	IPR000891	Pyruvate carboxyltransferase	GO:0003824(InterPro)	-
GCA_000827465.1	48a68b32b040caaa4af01a8465c78195	358	CDD	cd07938	DRE_TIM_HMGL	31	318	1.15688E-166	T	17-03-2025	-	-	-	-
GCA_000827465.1	48a68b32b040caaa4af01a8465c78195	358	Gene3D	G3DSA:3.20.20.70	Aldolase class I	24	336	1.0E-112	T	17-03-2025	IPR013785	Aldolase-type TIM barrel	-	-
GCA_000827465.1	48a68b32b040caaa4af01a8465c78195	358	Pfam	PF00682	HMGL-like	29	313	2.8E-47	T	17-03-2025	IPR000891	Pyruvate carboxyltransferase	GO:0003824(InterPro)	-
GCA_000827465.1	48a68b32b040caaa4af01a8465c78195	358	ProSitePatterns	PS01062	Hydroxymethylglutaryl-coenzyme A lyase active site.	269	278	-	T	17-03-2025	IPR000138	Hydroxymethylglutaryl-CoA lyase, active site	GO:0004419(InterPro)	-
GCA_029168975.1	a6a63f17d8e00337e904d183b89fe967	997	FunFam	G3DSA:1.10.238.260:FF:000002	Homocitrate synthase, mitochondrial	309	420	1.1E-57	T	17-03-2025	-	-	-	-
GCA_029168975.1	a6a63f17d8e00337e904d183b89fe967	997	Gene3D	G3DSA:3.20.20.70	Aldolase class I	32	308	1.8E-80	T	17-03-2025	IPR013785	Aldolase-type TIM barrel	-	-
