organism,complete_buscos,single_copy_buscos,fragmented_buscos,missing_buscos
GCF_024521635.1_Tripra1_genomic.fna,730,712,7,21
GCF_001642475.1_ASM164247v1_genomic.fna,749,747,5,4
GCF_000002525.2_ASM252v1_genomic.fna,743,742,4,11
GCF_045866475.1_ASM4586647v1_genomic.fna,748,746,0,10
GCF_000304475.1_Ka_CBS2517_genomic.fna,738,724,1,19
GCF_033439725.1_Gelte1_genomic.fna,750,748,1,7
GCF_005498985.1_PGRAM_IIB_1.0_genomic.fna,737,735,5,16
GCF_003025115.1_Trici_v4.0_genomic.fna,729,724,11,18
GCF_017655625.1_BP57_genomic.fna,720,715,2,36
GCF_028829585.1_ASM2882958v1_genomic.fna,748,744,5,5
GCF_022376445.1_Antser1_genomic.fna,696,418,21,41
GCF_000344685.1_Glotr1_1_genomic.fna,736,732,8,14
GCF_000182565.1_S_punctatus_V1_genomic.fna,685,679,19,54
GCF_001299255.1_ASM129925v1_genomic.fna,712,711,15,31
GCF_038497815.1_Lipoli1_genomic.fna,722,719,15,21
GCF_004355905.1_PgNI_genomic.fna,748,745,3,7
GCF_000002515.2_ASM251v1_genomic.fna,731,729,1,26
GCF_028827735.1_ASM2882773v1_genomic.fna,747,743,5,6
GCF_000988165.1_ASM98816v1_genomic.fna,165,165,22,571
GCF_000170995.1_TRIVI_v2.0_genomic.fna,745,740,4,9
GCF_000354255.1_CocheC4_1_genomic.fna,752,749,0,6
GCF_000300575.1_Agabi_varbisH97_2_genomic.fna,729,726,8,21
GCF_025399195.1_Umbra1_genomic.fna,727,701,10,21
GCF_028827695.1_ASM2882769v1_genomic.fna,722,719,21,15
GCF_022578515.1_Anntru1_genomic.fna,752,751,2,4
GCF_000151335.2_JCVI-cpa1-1.0_genomic.fna,751,750,2,5
GCF_036850825.1_Schama1_genomic.fna,729,727,1,28
GCF_010093535.1_Linin1_genomic.fna,752,747,2,4
GCF_036327395.1_ASM3632739v1_genomic.fna,744,743,2,12
GCF_000146945.2_ASM14694v2_genomic.fna,734,732,10,14
GCF_036630325.1_ASM3663032v1_genomic.fna,160,159,24,574
GCF_019207285.1_ASM1920728v1_genomic.fna,724,723,5,29
GCF_001661395.1_Hypbu1_genomic.fna,732,729,3,23
GCF_015039405.1_Cananz1_genomic.fna,707,320,15,36
GCF_000280035.1_ASM28003v2_genomic.fna,174,171,27,557
GCF_000182985.1_ASM18298v1_genomic.fna,155,154,30,573
GCF_029203305.1_ASM2920330v1_genomic.fna,728,727,4,26
GCF_016628075.1_Suipal1_genomic.fna,717,653,11,30
GCF_902498895.1_sapIngB_genomic.fna,739,736,2,17
GCF_000836115.1_Exop_spin_CBS89968_V1_genomic.fna,751,751,2,5
GCF_001890125.1_Aspve1_genomic.fna,748,745,3,7
GCF_019049425.1_ASM1904942v1_genomic.fna,725,724,2,31
GCF_000150735.1_Paracocci_br_Pb18_V2_genomic.fna,745,744,8,5
GCF_000709125.1_Exop_aqua_CBS_119918_V1_genomic.fna,750,749,3,5
GCF_004022145.1_Paevar1_genomic.fna,747,741,3,8
GCF_030864355.1_ASM3086435v1_genomic.fna,700,697,11,47
GCF_000143185.2_Schco3_genomic.fna,714,708,18,26
GCF_000026945.1_ASM2694v1_genomic.fna,728,722,3,27
GCF_014636115.1_ASM1463611v1_genomic.fna,727,726,4,27
GCF_010015565.1_Disac1_genomic.fna,752,749,0,6
GCF_038363865.1_ASM3836386v1_genomic.fna,722,719,19,17
GCF_002105095.1_Pseve2_genomic.fna,743,741,6,9
GCF_001027345.1_Triol1_genomic.fna,690,689,21,47
GCF_013085055.1_ASM1308505v1_genomic.fna,750,745,1,7
GCF_022984875.1_Hypfra2_genomic.fna,750,745,1,7
GCF_001983325.1_ASM198332v1_genomic.fna,679,652,9,70
GCF_000820605.1_S_brasiliensis_5110_v1_genomic.fna,750,747,4,4
GCF_010093505.1_Horac1_genomic.fna,754,753,0,4
GCF_002847045.1_Aspcand1_genomic.fna,751,749,1,6
GCF_028828045.1_ASM2882804v1_genomic.fna,748,745,2,8
GCF_003426965.1_ASM342696v1_genomic.fna,750,748,0,8
GCF_003184765.1_Aspacu1_genomic.fna,745,743,4,9
GCF_028828555.1_ASM2882855v1_genomic.fna,751,748,1,6
GCF_000006255.1_Postia_placenta_V1.0_genomic.fna,711,433,21,26
GCF_030435595.1_Armtab1_genomic.fna,723,584,12,23
GCF_000149955.1_ASM14995v2_genomic.fna,743,739,5,10
GCF_000738915.1_Nema_sp_1_ERTm6_V2_genomic.fna,153,153,31,574
GCF_033439665.1_Achstr1_genomic.fna,751,750,1,6
